Country (or dependent territory),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Germany,"208,867","241,914","290,117","385,518","430,928","474,785","502,961","581,104","716,567","852,855","850,642","715,726","691,011","689,366","649,558","658,784","940,833","1,170,617","1,262,020","1,252,915","1,592,710","1,869,104","2,128,558","2,069,766","2,211,022","2,594,371","2,504,671","2,221,738","2,246,445","2,202,845","1,955,673","1,952,325","2,086,496","2,510,528","2,823,071","2,866,308","3,005,081","3,444,723","3,770,150","3,426,672","3,423,466","3,761,142","3,545,946","3,753,687","3,885,440","3,377,310","3,479,232","3,700,613","4,000,386","3,963,880","4,157,115","4,335,205","4,527,210","4,713,907","4,912,299"
Ghana,"3,549","3,874","3,386","3,124","3,641","3,490","3,559","3,872","4,495","4,748","38,219","61,792","72,037","48,515","17,332","15,379","14,228","11,932","12,678","12,897","14,898","16,673","16,484","13,383","12,303","14,544","15,458","15,786","17,153","17,756","11,467","12,227","14,200","17,494","20,243","24,521","28,785","33,941","38,413","34,254","43,043","53,645","56,504","63,279","53,173","48,595","54,989","58,978","65,191","68,258","72,264","77,628","83,740","90,497","97,375"
Greece,"12,524","13,908","16,094","21,300","24,163","27,212","29,715","34,493","42,200","51,954","56,573","52,257","54,799","49,634","48,337","47,964","56,434","65,661","76,465","79,241","97,979","105,642","116,624","109,010","116,539","136,968","145,875","143,343","144,645","149,040","132,197","136,308","154,376","202,311","240,848","248,207","273,558","318,940","356,140","330,837","299,919","288,062","245,807","239,937","236,455","194,958","192,770","203,493","219,097","219,752","230,500","239,694","248,374","255,865","263,400"
Greenland,68,87,104,138,167,208,237,278,350,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,17,21,28,35,36,44,44,50,64,75,111,116,125,132,146,168,188,215,236,267,278,301,310,310,325,342,367,392,446,482,520,520,540,591,599,695,699,759,826,771,771,779,800,843,912,984,"1,056","1,127","1,196","1,272","1,330","1,395","1,463","1,534","1,608"
Guatemala,"1,697","1,769","1,874","2,290","2,818","3,250","3,892","4,886","5,412","6,154","7,319","7,995","8,098","8,406","8,796","10,385","5,615","6,502","7,042","8,118","7,106","8,687","9,625","10,462","11,855","13,314","14,218","16,103","17,488","16,492","17,187","18,703","20,777","21,918","23,965","27,211","30,231","34,113","39,137","37,734","41,338","47,655","50,388","53,851","58,722","63,794","68,763","75,620","78,979","82,335","87,629","93,473","99,550","106,078","114,948"
Guinea,566,626,668,716,822,926,"1,056","1,085","1,241","1,328","1,724","1,711","1,678","1,641","1,672","1,777","1,922","2,041","2,384","2,432","2,666","3,015","3,284","3,279","3,383","3,693","3,868","3,783","3,588","3,461","2,995","2,829","2,950","3,446","3,666","2,937","2,903","4,157","4,517","4,635","4,739","4,475","5,604","6,119","6,685","6,738","8,476","10,401","11,739","12,623","13,603","14,702","15,781","16,892","18,083"
Guinea-Bissau,307,305,357,440,483,556,500,430,497,544,171,219,249,281,195,287,280,237,221,266,323,457,489,381,435,460,438,416,376,406,364,380,410,477,532,588,592,697,869,829,851,"1,099",990,"1,046","1,055","1,041","1,165","1,350","1,459","1,538","1,669","1,808","1,962","2,129","2,316"
Guyana,427,452,458,488,684,804,711,703,793,829,559,544,459,466,465,474,523,655,615,779,652,735,602,721,874,993,"1,116","1,188","1,114","1,147","1,123","1,127","1,160","1,197","1,260","1,311","1,455","1,741","1,916","2,023","2,262","2,582","2,854","2,990","3,078","3,183","3,504","3,561","3,636","3,830","4,609","5,419","6,013","7,388","8,613"
Haiti,331,363,372,467,565,681,879,947,974,"1,081","1,546","1,702","1,770","1,900","2,105","2,337","2,597","1,279",841,778,990,888,533,610,"1,775","2,813","2,908","3,339","3,724","4,154","3,954","3,596","3,472","2,960","3,538","4,310","4,756","5,885","6,550","6,584","6,620","7,516","7,890","8,451","8,774","8,672","8,178","8,608","9,525","9,602","9,648","10,026","10,397","10,794","11,207"
Honduras,824,872,958,"1,089","1,234","1,341","1,608","1,992","2,302","2,686","3,508","3,855","3,970","4,207","4,538","4,976","5,207","5,678","6,324","7,065","4,169","4,195","4,675","4,794","4,693","5,415","5,217","5,736","6,366","6,417","7,104","7,566","7,775","8,140","8,772","9,672","10,842","12,275","13,790","14,486","15,730","17,649","18,464","18,436","19,688","20,729","21,644","23,101","23,778","24,651","25,560","26,637","27,743","28,942","30,217"
Hong Kong,"3,812","4,456","5,702","8,022","9,374","10,044","12,873","15,706","18,297","22,495","28,862","31,055","32,291","29,907","33,511","35,657","41,074","50,625","59,708","68,791","76,930","88,960","104,272","120,355","135,813","144,652","159,719","177,356","168,885","165,770","171,669","169,407","166,350","161,384","169,097","181,570","193,534","211,599","219,280","214,046","228,637","248,514","262,627","275,697","291,463","309,406","320,881","341,659","363,031","381,720","402,034","422,347","443,822","466,307","490,320"
Hungary,"6,270","6,824","8,004","9,911","10,863","12,387","14,354","16,031","18,741","21,639","22,974","23,559","23,993","21,774","21,111","21,378","24,624","27,064","29,615","30,234","34,264","34,651","38,616","40,007","43,023","46,301","46,538","47,178","48,662","49,075","47,209","53,697","67,561","85,050","103,695","112,589","114,801","139,198","157,291","129,965","130,258","140,099","127,321","134,680","139,295","121,660","129,144","139,761","155,703","168,778","177,734","188,376","196,668","206,102","216,393"
Iceland,519,660,827,"1,133","1,493","1,386","1,645","2,176","2,475","2,811","3,447","3,558","3,270","2,807","2,904","3,028","4,038","5,595","6,182","5,735","6,544","6,993","7,153","6,271","6,437","7,173","7,519","7,596","8,468","8,931","8,946","8,144","9,200","11,304","13,709","16,691","17,043","21,295","17,640","12,887","13,255","14,675","14,219","15,479","17,179","16,784","20,304","24,493","25,882","24,544","26,821","28,387","29,862","31,495","33,164"
India,"61,470","65,947","71,735","85,546","96,552","100,437","101,196","117,421","135,833","150,317","189,438","196,535","203,537","222,049","215,556","237,618","252,751","283,750","299,645","300,187","326,608","274,842","293,262","284,194","333,014","366,600","399,791","423,189","428,767","466,841","476,636","493,934","523,768","618,369","721,589","834,218","949,118","1,238,700","1,224,096","1,365,373","1,708,460","1,822,992","1,828,120","1,857,237","2,033,652","2,089,867","2,273,556","2,652,245","2,716,746","2,971,996","3,257,720","3,577,316","3,924,107","4,306,293","4,729,319"
Indonesia,"9,805","10,295","12,083","17,878","28,349","33,472","40,948","50,331","56,535","56,473","99,296","110,848","113,799","103,149","107,218","107,062","101,220","95,214","107,279","122,582","138,258","154,558","168,280","190,913","213,727","244,227","274,722","260,680","115,323","169,158","179,482","174,507","212,807","255,428","279,556","310,815","396,293","470,144","558,582","577,539","755,256","892,590","919,002","916,646","891,051","861,143","932,445","1,015,292","1,022,454","1,100,911","1,208,857","1,305,733","1,399,115","1,499,445","1,606,730"
Iran,"10,032","12,631","15,785","25,134","43,806","48,877","63,404","74,362","73,233","85,610","93,936","100,012","125,753","156,132","161,796","181,684","210,492","278,747","314,739","378,050","569,585","295,443","48,887","63,625","79,847","112,783","154,126","180,421","201,452","270,641","357,875","325,377","128,527","151,743","181,283","218,207","257,850","337,654","390,670","396,694","463,670","570,039","382,017","379,436","414,965","375,404","404,447","430,709","452,275","484,663","495,694","515,317","536,268","557,624","584,007"
Iraq,"2,320","2,605","2,615","3,283","3,870","4,845","6,178","6,693","8,468","11,371",,,,,,,,,,,,,,,,,,,"10,469","18,449","25,857","18,936","18,970","15,800","36,642","50,065","65,144","88,833","131,614","111,660","138,517","185,750","218,032","234,638","255,534","179,838","171,716","193,521","226,070","225,257","246,932","259,534","272,680","286,547","301,907"
Ireland,"4,295","4,979","6,210","7,356","7,799","9,279","9,285","10,972","14,254","18,023","21,384","20,327","21,253","20,512","19,819","21,006","28,352","33,598","36,785","37,975","48,526","49,638","56,261","53,745","59,213","73,175","80,320","87,780","97,606","106,754","99,832","109,103","127,969","164,285","193,947","211,698","232,239","270,056","274,935","235,714","221,270","240,483","225,799","238,991","255,896","290,241","304,499","331,597","372,695","381,571","405,185","428,081","452,683","476,424","502,525"
Israel,"6,070","6,401","8,431","10,807","14,655","14,502","15,243","16,495","16,232","20,891","23,819","25,238","27,048","30,165","28,557","26,542","32,675","39,027","48,346","49,190","58,045","65,844","73,576","73,948","84,413","100,279","109,949","114,714","115,953","117,195","142,328","141,638","132,935","129,682","149,366","157,463","169,877","195,743","234,929","227,319","255,756","285,373","303,640","327,318","354,767","375,094","351,748","353,268","369,843","381,569","403,961","425,999","450,689","476,373","503,289"
Italy,"109,791","120,709","140,634","169,911","193,228","220,469","217,583","249,389","305,032","381,143","483,592","438,534","433,428","449,739","444,306","458,982","650,037","815,836","903,851","939,875","1,173,063","1,239,527","1,314,814","1,057,442","1,090,596","1,171,510","1,309,315","1,240,577","1,268,032","1,250,203","1,145,109","1,163,316","1,270,994","1,572,653","1,800,756","1,855,834","1,944,339","2,206,109","2,402,062","2,190,700","2,129,021","2,278,376","2,073,971","2,131,157","2,155,153","1,825,820","1,860,152","1,946,888","2,072,201","2,025,866","2,090,448","2,142,457","2,200,656","2,256,796","2,323,028"
Jamaica,"1,591","1,741","2,119","2,173","2,700","3,251","3,371","3,694","3,006","2,765","2,565","2,817","3,235","2,875","2,119","1,993","2,369","2,672","3,184","3,692","4,663","4,285","4,328","5,516","5,529","6,543","7,046","8,076","8,462","8,496","8,696","8,835","9,332","8,994","9,744","10,761","11,468","12,359","13,743","12,107","13,192","14,409","14,761","14,203","13,863","14,218","14,002","14,773","15,422","16,152","16,717","17,503","18,365","19,273","20,227"
Japan,"209,071","236,155","312,738","424,891","471,643","512,861","576,406","709,405","996,742","1,037,453","1,099,695","1,215,778","1,130,404","1,232,408","1,309,788","1,401,006","2,075,616","2,514,969","3,051,174","3,052,896","3,140,669","3,582,802","3,898,138","4,467,123","4,907,582","5,450,805","4,834,019","4,415,715","4,034,448","4,546,050","4,887,301","4,304,758","4,115,197","4,447,378","4,815,772","4,755,980","4,530,475","4,515,264","5,037,910","5,231,384","5,700,099","6,157,460","6,203,213","5,155,716","4,848,733","4,379,868","4,949,272","4,859,951","4,971,929","5,176,205","5,495,423","5,807,520","6,133,859","6,475,893","6,848,808"
Jordan,593,633,705,807,933,"1,220","1,574","1,937","2,562","3,103","3,908","4,388","4,684","4,922","4,972","5,001","6,404","6,751","6,324","4,252","4,161","4,345","5,369","5,532","6,197","6,650","6,928","7,246","7,912","8,149","8,461","8,975","9,582","10,196","11,411","12,589","15,057","17,111","21,963","23,820","26,425","28,840","30,981","33,641","35,878","37,570","38,709","40,766","42,371","44,256","46,451","48,850","51,474","54,343","57,373"
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,"2,875","5,152","11,648","16,594","20,893","22,130","21,624","16,870","18,292","22,153","24,637","30,834","43,152","57,125","81,003","104,850","133,441","115,309","148,047","192,626","207,999","236,635","221,416","184,388","133,668","162,887","170,539","164,207","177,322","190,855","206,041","226,115","248,852"
Kenya,"2,195","2,432","2,727","3,217","3,836","4,206","4,483","5,794","6,860","7,869","10,099","9,513","9,159","8,470","8,788","8,746","10,387","11,387","11,806","11,705","12,180","11,501","11,327","7,869","9,422","11,944","13,565","13,742","15,739","14,353","14,136","14,536","14,764","16,796","18,064","21,001","25,826","31,958","35,895","37,022","40,000","41,672","50,420","55,129","61,494","63,624","70,527","79,212","89,205","99,246","109,116","118,892","129,616","140,929","153,191"
Kiribati,21,22,28,46,83,80,60,56,65,62,39,41,41,38,41,32,32,73,45,44,43,47,48,47,55,56,67,67,66,69,68,63,72,91,103,112,109,131,142,132,154,177,188,188,186,160,182,186,189,187,196,205,214,224,234
"Korea, North","4,927","5,440","6,006","6,630","7,320","8,081","8,412","8,757","9,116","9,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, South","8,936","9,894","10,794","13,805","19,397","21,648","29,774","38,227","51,539","66,218",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,234","2,535","2,703","3,355","3,621","3,741","3,918","4,743","5,715","5,668","5,841","6,699","6,503","7,075","7,398","6,444","6,717","7,242","7,981","8,126","8,677","9,234","9,852","10,491","11,204"
Kuwait,"2,873","3,881","4,448","5,405","13,004","12,016","13,120","14,140","15,502","24,750","28,724","25,249","21,583","20,317","21,457","21,540","17,376","20,817","19,281","23,855","18,293","10,826","19,866","23,996","24,796","27,189","31,492","30,350","25,944","30,123","37,721","34,886","38,135","47,844","59,439","80,807","101,559","114,677","147,402","105,992","115,401","154,020","174,066","174,179","162,695","114,079","110,873","119,533","141,050","136,940","142,999","149,568","155,982","163,309","171,661"
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,917,665,"1,108","1,493","1,822","1,767","1,630","1,242","1,368","1,525","1,606","1,920","2,214","2,459","2,837","3,807","5,139","4,690","4,794","6,198","6,604","7,335","7,467","6,678","6,551","7,703","8,093","8,334","8,781","9,288","9,897","10,423","10,976"
Laos,113,125,134,154,174,204,222,231,250,265,"1,913","1,118","1,119","2,047","2,930","3,685","2,577","1,815","1,182","1,460","1,742","2,053","2,354","2,652","3,081","3,579","3,726","3,515","1,334","1,415","1,720","1,757","1,844","2,259","2,649","3,049","3,915","4,757","5,948","6,431","7,504","8,963","10,195","11,974","13,266","14,363","15,916","17,069","18,434","20,153","22,013","23,977","26,101","28,411","30,922"
Latvia,,,,,,,,,,,,,,,,,,,,,,,"1,694","2,728","4,532","5,410","5,970","6,527","7,178","7,534","7,948","8,351","9,553","11,753","14,377","16,949","21,466","30,946","35,763","26,238","23,809","28,496","28,141","30,260","31,402","27,040","27,584","30,524","34,881","35,721","38,102","40,403","42,822","45,266","47,975"
Lebanon,"1,489","1,673","2,086","2,721","3,496","3,258","1,427","2,529","2,977","3,633","4,074","3,894","2,656","3,660","4,327","3,614","2,817","3,298","3,314","2,718","2,838","4,452","5,546","7,535","9,110","11,119","12,997","15,745","17,289","17,405","17,248","17,595","19,091","19,749","20,957","21,286","21,797","24,577","28,833","35,140","38,010","40,076","44,100","47,598","49,874","50,800","49,611","53,394","56,409","58,281","60,620","63,395","66,550","69,963","73,697"
Lesotho,67,65,77,116,132,138,136,178,245,267,476,483,402,442,396,316,363,475,538,560,675,766,888,887,936,"1,052",995,"1,050",967,949,923,846,771,"1,146","1,461","1,627","1,721","1,939","1,922","2,007","2,603","2,937","2,788","2,635","2,568","2,364","2,442","2,733","2,762","2,811","2,892","3,041","3,200","3,353","3,498"
Liberia,259,273,296,346,423,509,527,590,646,744,,,,,,,,,,,,,,,,,,,,,874,906,927,748,897,949,"1,119","1,373","1,726","1,768","1,998","2,398","2,721","3,067","3,144","3,177","3,278","3,284","3,249","3,221","3,217","3,266","3,437","3,499","3,712"
Libya,"4,268","4,881","5,845","8,003","14,022","13,649","17,719","20,809","20,537","28,332","38,941","33,641","33,541","31,963","29,930","29,440","23,987","22,294","25,067","26,594","30,644","33,908","34,358","30,921","28,796","32,690","35,683","36,531","29,960","35,975","38,271","34,112","20,471","26,186","32,996","47,335","54,963","67,690","83,651","56,236","73,397","38,843","89,242","62,872","33,819","29,763","18,539","30,565","43,587","44,964","50,424","56,737","64,438","73,848","85,307"
Liechtenstein,90,105,125,166,194,246,272,303,437,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,"6,698","8,385","10,121","11,241","10,973","11,539","12,253","14,275","18,803","22,647","26,182","30,235","39,787","48,125","37,533","37,200","43,564","42,887","46,479","48,661","41,423","42,791","47,640","53,323","54,240","57,602","60,871","64,198","67,488","71,022"
Luxembourg,"1,445","1,506","1,886","2,588","3,157","3,097","3,395","3,757","4,679","5,470","6,494","5,601","4,599","4,515","4,426","4,588","6,679","8,289","9,389","9,998","12,747","13,815","15,476","15,864","17,653","20,768","20,657","18,603","19,445","21,285","21,438","21,070","23,391","29,263","34,390","37,041","41,950","50,393","55,406","50,515","53,005","59,631","56,443","61,563","65,476","58,077","58,655","62,441","68,770","69,634","73,693","77,529","81,622","85,580","90,046"
Macau,165,197,241,328,377,436,433,554,723,822,,,,,,,,,,,,,,,,,,,,,,"6,811","7,323","8,195","10,586","12,092","14,790","18,341","20,917","21,475","28,124","36,708","43,032","51,552","55,348","45,415","45,368","50,559","54,545","58,055","62,158","66,673","71,689","77,086","82,990"
Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,898,971,"1,110","1,367","1,549","1,844","1,762","1,905","2,156","2,798","4,042","3,595","3,526","3,512","2,939","2,858","3,258","2,566","2,442","2,498","3,081","2,677","3,001","3,371","2,977","3,160","3,995","3,546","3,738","3,721","3,878","4,530","4,397","5,474","4,364","5,039","5,516","7,343","9,413","8,550","8,730","9,893","9,920","10,602","10,674","9,744","10,001","11,466","12,093","12,734","13,542","14,503","15,595","16,777","18,054"
Malawi,442,555,635,612,756,845,923,"1,111","1,307","1,403","2,146","2,146","2,046","2,121","2,095","1,962","2,048","2,013","2,314","2,639","2,999","3,821","3,120","3,591","2,081","2,423","3,956","4,619","3,036","3,080","3,023","2,967","3,496","3,211","3,476","3,656","3,998","4,431","5,321","6,195","6,957","7,984","5,981","5,432","6,055","6,407","5,475","6,226","6,925","7,436","7,861","8,345","8,918","9,575","10,268"
Malaysia,"3,737","4,586","5,449","8,279","10,260","10,079","11,939","14,196","17,674","22,919","26,382","26,938","28,868","32,286","36,568","33,612","29,879","34,046","37,315","41,095","46,575","52,765","63,521","71,837","79,985","95,395","108,300","107,570","77,508","84,996","100,719","99,639","108,296","118,344","133,966","148,245","168,084","199,960","238,645","208,914","255,024","297,961","314,443","323,276","338,073","296,434","296,536","314,708","354,348","373,447","401,985","431,537","464,466","499,837","539,632"
Maldives,38,42,49,60,76,48,44,41,47,75,63,73,87,94,113,134,158,149,178,201,231,262,306,346,382,466,527,652,693,756,801,767,828,"1,043","1,202","1,120","1,475","1,746","2,110","2,149","2,323","2,321","2,517","2,787","3,088","3,192","4,213","4,858","5,302","5,749","6,213","6,720","7,272","7,851","8,451"
Mali,276,330,373,433,406,604,716,833,965,"1,220","2,031","1,660","1,468","1,418","1,416","1,426","1,981","2,308","2,316","2,827","3,223","3,285","3,373","3,362","2,575","3,337","3,416","3,208","3,328","3,444","2,963","3,468","3,903","4,713","5,452","6,256","6,906","8,157","9,797","10,207","10,699","12,990","12,450","13,250","14,411","13,107","14,039","15,366","17,187","17,833","19,332","20,831","22,464","24,169","25,896"
Malta,251,265,295,346,376,475,528,626,794,"1,001",,,,,,,,,,,,,,,,"3,367","3,433","3,476","3,680","3,836","4,059","4,067","4,475","5,423","6,049","6,402","6,786","7,944","9,020","8,550","8,757","9,509","9,204","10,135","11,206","10,293","11,278","12,754","14,505","15,134","16,338","17,428","18,550","19,659","20,845"
Marshall Islands,8,9,10,12,15,17,18,20,22,26,,,,,,,,,,,,,,,,,,106,109,108,111,115,125,127,131,138,144,151,153,153,165,173,185,191,183,179,194,208,214,220,228,236,243,250,256
Mauritania,324,347,406,462,628,759,847,871,857,"1,069",,,,,,,,,,,"1,213","1,390","1,464","1,250","1,316","1,415","1,443","1,402","1,371","1,406","1,294","1,296","1,324","1,563","1,831","2,184","3,041","3,331","3,947","3,670","4,330","5,176","5,234","5,724","5,391","4,844","4,755","4,919","5,194","5,569","5,697","5,931","6,629","7,279","8,106"
Mauritius,197,221,278,348,578,581,722,844,"1,041","1,241","1,173","1,115","1,069","1,132","1,047","1,061","1,432","1,813","2,103","2,161","2,596","2,851","3,211","3,309","3,673","4,195","4,337","4,073","4,114","4,344","4,663","4,614","4,841","5,817","6,579","6,489","6,732","7,792","9,641","8,835","9,718","11,263","11,446","11,932","12,613","11,511","12,150","13,267","14,277","14,812","15,757","16,757","17,856","18,929","20,051"
Mexico,"43,426","47,897","55,200","67,532","87,943","107,525","108,589","100,097","125,438","164,346","234,618","301,328","218,680","178,282","210,246","223,104","154,470","169,397","207,235","252,549","298,037","357,292","414,348","504,022","527,316","343,814","397,402","480,557","502,029","579,452","683,650","724,691","741,563","713,283","770,270","866,346","966,867","1,043,472","1,101,274","894,950","1,051,128","1,171,185","1,186,602","1,261,983","1,298,404","1,152,266","1,076,914","1,158,229","1,223,359","1,241,450","1,297,751","1,358,368","1,424,472","1,495,148","1,569,978"
Micronesia,21,23,27,37,49,49,50,50,57,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,864,"1,110","1,158","1,441","1,694","1,928","1,697","1,172","1,315","1,481","1,662","1,981","2,598","2,988","3,408","4,401","6,055","5,438","5,813","7,018","7,283","7,985","7,983","6,496","6,773","9,670","11,404","12,037","12,793","13,527","14,311","15,134","16,022"
Monaco,293,328,403,524,565,712,736,812,"1,002","1,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,172,189,204,235,267,311,342,392,451,510,"3,188","3,336","3,463","3,590","3,316","3,851","4,250","4,776","4,797","4,997","3,131","3,297","1,831",902,"1,082","1,697","1,573","1,380","1,314","1,236","1,329","1,485","1,634","1,864","2,317","2,930","4,084","5,370","8,084","5,976","7,185","10,410","12,293","12,582","12,196","11,718","11,053","11,434","13,038","13,696","14,960","16,318","17,766","19,435","21,258"
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985,"1,160","1,285","1,708","2,076","2,261","2,698","3,674","4,541","4,152","4,147","4,543","4,090","4,466","4,595","4,022","4,376","4,854","5,402","5,443","5,740","6,052","6,413","6,781","7,166"
Montserrat,6,7,8,9,10,12,10,11,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,"4,421","4,731","5,681","6,973","8,576","10,039","10,710","12,347","14,790","17,779","21,998","17,860","18,028","16,296","14,904","15,043","19,864","21,911","25,947","26,706","30,180","32,286","33,712","31,656","35,605","39,029","43,162","39,147","41,806","41,632","38,859","39,460","42,238","52,064","59,626","62,343","68,641","79,041","92,507","92,897","93,217","101,371","98,266","106,826","109,881","100,593","103,607","109,824","118,309","121,350","129,056","137,248","146,209","155,821","166,242"
Mozambique,"3,047","3,392","3,797","4,472","4,676","4,841","4,409","4,463","4,663","4,903","5,401","4,195","4,285","3,838","3,998","5,285","6,203","2,803","2,463","2,574","4,130","3,217","2,177","2,265","2,458","2,524","3,468","4,110","4,718","5,167","4,667","4,567","4,977","5,549","6,749","7,595","8,304","9,466","11,555","11,243","10,457","13,131","15,178","16,013","16,872","14,807","11,272","12,586","14,428","15,372","16,294","17,318","18,435","20,645","23,550"
Myanmar,"2,692","2,757","2,568","3,340","3,981","3,680","4,089","4,191","4,678","5,365",,,,,,,,,,,,,,,,,,,"7,441","9,777","10,259","7,462","7,808","12,058","12,173","13,809","16,707","23,250","34,490","37,998","49,541","59,977","59,731","60,133","65,575","59,539","63,251","66,721","68,559","65,665","71,403","78,124","85,857","94,227","103,559"
Namibia,633,707,708,898,"1,096","1,169","1,123","1,248","1,438","1,777",,,,,,,,,,,"2,838","2,854","3,014","2,891","3,254","3,503","3,494","3,636","3,215","3,384","3,911","3,550","3,369","4,932","6,617","7,258","7,984","8,730","8,496","8,915","11,281","12,423","13,016","12,720","12,864","11,497","10,945","13,249","13,824","13,961","14,627","15,453","16,369","17,311","18,338"
Nauru,18,19,22,27,32,29,29,28,31,33,,,,,,,,,,,,,,,,,,,,,,,,,31,31,28,20,39,44,49,73,104,109,117,100,102,114,117,114,117,121,124,128,133
Nepal,"1,041","1,061","1,231","1,144","1,458","1,617","1,494","1,484","1,749","1,987","1,980","2,315","2,340","2,560","2,708","2,812","3,060","3,175","3,743","3,784","3,894","4,261","3,872","4,158","4,344","4,716","4,861","5,284","5,253","5,404","5,731","5,891","5,976","6,328","7,274","8,180","9,044","10,325","12,545","12,855","16,002","19,011","18,852","19,270","19,995","21,314","21,132","24,880","28,812","28,922","33,035","36,067","39,234","42,825","46,664"
Netherlands,"35,353","41,294","50,675","66,943","79,169","93,227","101,716","118,821","145,331","166,432","189,524","158,867","153,892","149,824","139,468","141,524","197,217","241,531","258,309","254,538","314,016","323,511","358,001","348,101","373,918","446,932","445,845","412,717","433,086","442,555","414,018","426,940","467,016","572,958","651,416","679,695","727,287","840,583","940,665","860,108","837,949","894,576","829,406","866,951","881,033","758,381","777,548","832,239","912,899","914,003","954,931","992,120","1,032,965","1,073,526","1,119,684"
Netherlands Antilles,224,244,278,313,394,468,524,591,719,852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,378,437,509,544,644,817,798,838,846,"1,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,"6,507","7,799","9,418","12,489","14,121","13,656","13,874","15,132","18,315","21,051","22,520","23,439","23,205","22,453","22,347","22,516","27,399","36,930","45,439","44,062","45,774","43,579","41,596","44,799","52,873","62,212","69,065","68,887","56,781","58,847","54,138","53,105","62,047","82,470","101,582","113,204","109,764","134,947","135,525","121,733","145,309","167,128","175,062","186,810","199,028","173,347","185,380","200,317","203,404","210,475","224,943","239,452","254,202","268,564","283,895"
Nicaragua,882,939,"1,000","1,242","1,727","1,806","2,098","2,543","2,431","1,740","1,832","2,156","2,497","2,900","3,966","3,854","5,800","3,409","1,499","2,082",519,"3,678","3,894","3,726","3,861","4,140","4,308","4,390","4,635","4,856","5,109","5,335","5,224","5,322","5,793","6,321","6,786","7,458","8,491","8,379","8,741","9,756","10,439","10,875","11,790","12,693","13,230","13,814","13,258","12,612","12,459","12,470","12,565","12,709","13,094"
Niger,427,457,574,611,702,894,"1,058","1,250","1,692","2,215","2,509","2,171","2,018","1,803","1,461","1,440","1,904","2,233","2,280","2,180","2,480","2,328","2,345","2,221","1,563","1,756","1,880","1,733","1,981","1,916","1,671","1,815","2,073","2,645","2,901","3,375","3,650","4,290","5,429","5,411","5,729","6,415","6,946","7,670","8,258","7,175","7,531","8,136","9,226","9,724","10,628","11,519","13,051","14,270","15,451"
Nigeria,"11,567","14,026","16,829","21,140","32,688","39,763","48,441","54,157","60,593","74,798",,,,,,,,,,,"62,165","60,131","52,275","56,807","80,128","132,230","172,686","187,866","209,677","57,477","67,824","73,128","93,983","102,935","130,345","169,645","222,791","262,215","330,260","297,458","369,062","414,095","460,952","514,965","568,496","493,841","405,442","376,361","397,270","444,916","496,122","551,067","613,936","681,929","756,346"
Norway,"12,730","14,476","17,220","22,342","26,876","32,566","35,576","41,070","46,016","52,548","64,448","63,605","62,653","61,631","62,081","65,436","78,714","94,240","101,910","102,648","119,796","121,903","130,892","120,267","127,094","152,047","163,520","161,374","154,180","162,316","171,333","174,017","195,423","227,620","264,199","308,679","345,393","400,886","461,946","386,382","428,527","498,157","509,705","522,746","498,340","386,579","371,064","399,489","434,937","427,041","438,623","449,897","463,216","476,713","490,845"
Oman,268,315,384,506,"1,724","2,196","2,681","2,870","2,871","3,911","6,342","7,719","8,101","8,491","9,358","10,395","8,229","8,628","8,386","9,372","11,686","11,342","12,452","12,494","12,919","13,803","15,277","15,838","13,997","15,594","19,508","19,452","20,143","21,634","24,764","31,082","37,216","42,086","60,906","48,389","58,642","67,937","76,689","78,939","81,034","69,831","66,824","70,784","82,243","79,458","84,158","87,401","90,036","93,116","96,634"
