Country (or dependent territory),1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Barbados,216,243,278,339,405,476,517,588,658,798,"1,018","1,120","1,171","1,243","1,355","1,418","1,557","1,714","1,823","2,018","2,024","2,032","1,957","2,075","2,163","2,275","2,425","2,564","2,891","3,029","3,122","3,117","3,170","3,275","3,514","3,897","4,303","4,546","4,595","4,601","4,447","4,359","4,332","4,371","4,353","4,422","4,764","4,990","5,145","5,207","5,339","5,546","5,780","6,024","6,278"
Belarus,,,,,,,,,,,,,,,,,,,,,,,"12,806","11,414","15,113","10,529","14,433","14,008","15,141","12,100","13,284","12,870","15,186","18,543","23,986","31,318","38,318","46,937","62,967","50,994","57,220","61,368","65,669","75,496","78,736","56,329","47,703","54,723","59,643","60,951","63,664","66,991","70,147","73,471","76,203"
Belgium,"26,850","29,982","37,409","47,999","56,334","66,028","71,495","83,282","101,793","116,940","124,137","102,813","90,462","85,500","81,690","84,950","117,799","146,215","158,968","160,706","201,235","206,535","230,030","219,932","239,931","289,904","281,467","255,170","260,971","260,544","238,603","238,046","259,777","319,613","371,388","388,029","410,173","472,475","521,084","485,781","484,450","527,491","498,160","520,254","532,607","455,219","468,148","495,757","533,153","531,813","553,781","574,690","597,704","620,586","645,647"
Belize,25,32,42,68,90,104,82,106,121,141,172,179,179,189,211,209,228,267,315,363,412,445,518,560,581,620,641,654,689,732,832,872,933,990,"1,058","1,114","1,217","1,291","1,370","1,339","1,398","1,487","1,574","1,614","1,707","1,743","1,820","1,863","1,925","1,997","2,071","2,150","2,230","2,314","2,353"
Benin,322,342,421,516,554,674,718,786,954,"1,162","1,685","1,140","1,128",999,"1,065","1,111","1,419","1,660","1,728","1,596","1,960","1,987","2,246","2,274","1,598","2,169","2,361","2,268","2,455","2,690","2,577","2,682","3,065","3,913","4,527","4,812","5,147","5,977","7,166","7,116","6,983","7,821","8,157","9,160","9,723","8,295","8,576","9,265","10,456","11,184","12,129","13,157","14,269","15,479","16,816"
Bermuda,266,301,336,384,446,492,551,598,646,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,62,66,70,79,93,87,88,98,94,105,127,137,144,156,161,167,189,229,262,261,281,244,238,249,253,296,311,348,382,401,436,455,504,575,670,762,858,"1,020","1,291","1,214","1,433","1,737","1,814","1,849","1,830","2,027","2,127","2,405","2,627","2,840","2,939","3,154","3,441","3,763","4,079"
Bolivia,"1,010","1,094","1,279","1,249","2,099","2,399","2,749","2,765","3,020","3,274","3,589","3,440","3,813","3,609","3,752","4,059","3,970","4,323","4,598","4,716","4,868","5,343","5,643","5,734","5,970","6,702","7,375","7,917","8,490","8,269","8,385","8,155","7,917","8,092","8,785","9,573","11,520","13,216","16,792","17,464","19,786","24,135","27,282","30,883","33,237","33,238","34,053","38,058","41,410","43,687","47,052","50,791","54,992","59,570","64,862"
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,584","4,578","5,281","5,766","5,554","5,784","6,711","8,477","10,157","10,935","12,460","15,323","18,712","17,601","17,164","18,629","17,207","18,155","18,522","16,251","16,917","18,169","19,881","20,152","21,343","22,563","23,945","25,431","27,042"
Botswana,67,88,115,169,236,274,297,383,456,595,"1,175","1,038","1,095","1,210","1,201","1,118","1,516","2,376","3,084","3,444","3,803","3,806","3,932","3,961","4,261","4,732","4,881","5,024","4,819","5,485","5,804","5,516","5,456","7,538","8,969","10,027","10,165","10,942","11,028","10,317","13,755","15,334","14,701","14,814","16,259","14,435","15,660","17,383","18,998","19,651","20,873","21,653","22,523","23,838","24,581"
Brazil,"35,214","39,332","50,624","71,673","91,888","108,051","127,741","148,672","168,803","186,095","152,154","174,864","186,950","149,893","149,168","236,798","274,694","298,989","334,013","458,527","475,119","416,596","399,082","447,832","558,374","786,479","850,800","883,534","864,017","599,438","655,454","559,982","509,798","558,232","669,290","891,633","1,107,628","1,397,114","1,695,855","1,669,204","2,208,704","2,614,027","2,464,053","2,471,718","2,456,054","1,801,482","1,793,066","2,053,208","1,868,184","1,960,190","2,062,504","2,156,496","2,255,582","2,359,526","2,468,216"
British Virgin Islands,20,17,18,20,24,27,29,30,35,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,225,248,340,544,"1,348","1,467","1,787","2,176","2,439","3,522",,,,,,"4,434","2,704","3,105","2,955","3,314","3,908","4,109","4,646","4,558","4,537","5,255","5,679","5,769","4,496","5,106","6,662","6,218","6,487","7,279","8,739","10,581","12,736","13,576","16,005","11,892","13,707","18,525","19,047","18,092","17,098","12,931","11,399","12,128","14,082","13,325","14,281","15,332","16,330","17,010","17,203"
